subject_nr,correct,id,stim_type,response_time,block_id,age,gender,PT
10,1,36,a,1204,ur,24,h,ur
10,1,22,a,949,ur,24,h,ur
10,1,59,c,945,ur,24,h,ur
10,1,63,c,788,ur,24,h,ur
10,1,53,b,798,ur,24,h,ur
10,1,30,a,929,ur,24,h,ur
10,1,37,b,836,ur,24,h,ur
10,1,6,d,737,ur,24,h,ur
10,1,23,a,932,ur,24,h,ur
10,1,28,a,915,ur,24,h,ur
10,1,34,a,1026,ur,24,h,ur
10,1,68,c,831,ur,24,h,ur
10,1,60,c,755,ur,24,h,ur
10,1,69,c,1004,ur,24,h,ur
10,1,46,b,810,ur,24,h,ur
10,1,33,a,861,ur,24,h,ur
10,1,29,a,880,ur,24,h,ur
10,1,45,b,1007,ur,24,h,ur
10,1,38,b,878,ur,24,h,ur
10,1,20,a,842,ur,24,h,ur
10,1,13,e,1152,ur,24,h,ur
10,1,66,c,1131,ur,24,h,ur
10,1,49,b,986,ur,24,h,ur
10,1,48,b,723,ur,24,h,ur
10,1,21,a,819,ur,24,h,ur
10,1,11,e,1285,ur,24,h,ur
10,1,44,b,763,ur,24,h,ur
10,1,14,e,779,ur,24,h,ur
10,1,70,c,1077,ur,24,h,ur
10,1,3,d,838,ur,24,h,ur
10,1,26,a,1111,ur,24,h,ur
10,1,10,e,811,ur,24,h,ur
10,1,41,b,781,ur,24,h,ur
10,0,72,c,1187,ur,24,h,ur
10,1,61,c,739,ur,24,h,ur
10,1,19,a,819,ur,24,h,ur
10,1,27,a,1021,ur,24,h,ur
10,1,51,b,1022,ur,24,h,ur
11,0,prc1,d,6215,practice,20,m,80
11,1,prc4,a,2984,practice,20,m,80
11,1,prc8,c,1230,practice,20,m,80
11,0,prc5,b,5484,practice,20,m,80
11,1,prc3,a,5459,practice,20,m,80
11,0,prc7,c,5534,practice,20,m,80
11,1,prc6,b,1143,practice,20,m,80
11,1,prc2,e,937,practice,20,m,80
11,1,14,e,824,80,20,m,80
11,1,6,d,1570,80,20,m,80
11,0,70,c,894,80,20,m,80
11,1,43,b,1121,80,20,m,80
11,1,44,b,1145,80,20,m,80
11,1,34,a,1242,80,20,m,80
11,1,49,b,6772,80,20,m,80
11,1,24,a,646,80,20,m,80
11,0,60,c,829,80,20,m,80
11,1,65,c,1350,80,20,m,80
11,1,50,b,1268,80,20,m,80
11,0,62,c,1190,80,20,m,80
11,0,31,a,1088,80,20,m,80
11,1,68,c,1180,80,20,m,80
11,1,16,e,918,80,20,m,80
11,1,18,e,864,80,20,m,80
11,0,48,b,5160,80,20,m,80
11,0,21,a,787,80,20,m,80
