part,age,key,sex,style,stim,hemifield,response,rt
17,28,Right,female,Abstract,293ABSTRACTO,Left,0,438
17,28,Right,female,Representational,389POSTIMPRES,Left,0,342
17,28,Right,female,Abstract,176ABSTRACTO,Right,0,400
17,28,Right,female,Abstract,214ABSTRACTO,Right,1,562
17,28,Right,female,Abstract,129ABSTRACTO,Left,1,349
17,28,Right,female,Abstract,051ABSTRACTO,Left,0,453
17,28,Right,female,Representational,046REALISTA,Right,0,312
17,28,Right,female,Representational,373POSTIMPRES,Right,0,370
17,28,Right,female,Abstract,117ABSTRACTO,Right,0,419
17,28,Right,female,Abstract,270ABSTRACTO,Left,0,414
17,28,Right,female,Abstract,362ABSTRACTO,Left,0,353
17,28,Right,female,Representational,278POSTIMPRES,Left,1,439
17,28,Right,female,Representational,173REALISTA,Left,0,431
17,28,Right,female,Representational,127IMPRESION,Right,1,451
17,28,Right,female,Representational,396REALISTA,Right,0,534
17,28,Right,female,Abstract,390ABSTRACTO,Right,0,377
17,28,Right,female,Representational,385POSTIMPRES,Left,1,569
17,28,Right,female,Representational,308POSTIMPRES,Right,1,430
17,28,Right,female,Representational,104POSTIMPRESjpg,Right,1,702
17,28,Right,female,Representational,350REALISTA,Right,0,577
17,28,Right,female,Abstract,185ABSTRACTO,Left,0,406
17,28,Right,female,Abstract,329ABSTRACTO,Right,0,502
17,28,Right,female,Representational,093REALISTA,Right,0,498
17,28,Right,female,Abstract,368ABSTRACTO,Left,0,536
17,28,Right,female,Representational,016POSTIMPRES,Right,1,565
17,28,Right,female,Representational,303REALISTA,Left,0,619
17,28,Right,female,Abstract,364ABSTRACTO,Right,0,435
17,28,Right,female,Abstract,263ABSTRACTO,Left,0,434
17,28,Right,female,Representational,030POSTIMPRES,Left,1,900
17,28,Right,female,Abstract,067ABSTRACTO,Right,0,475
17,28,Right,female,Abstract,084ABSTRACTO,Left,0,397
17,28,Right,female,Abstract,217ABSTRACTO,Right,0,353
17,28,Right,female,Abstract,329ABSTRACTO,Left,0,437
17,28,Right,female,Representational,219IMPRESION,Right,1,381
17,28,Right,female,Representational,303REALISTA,Right,0,412
17,28,Right,female,Abstract,185ABSTRACTO,Right,0,423
17,28,Right,female,Representational,241POSTIMPRES,Left,0,463
17,28,Right,female,Representational,402IMPRESION,Right,1,460
17,28,Right,female,Abstract,236ABSTRACTO,Right,0,423
17,28,Right,female,Representational,345POSTIMPRES,Right,0,362
17,28,Right,female,Representational,075IMPRESION,Left,0,370
17,28,Right,female,Abstract,212ABSTRACTO,Right,0,569
17,28,Right,female,Representational,197POSTIMPRES,Left,0,373
17,28,Right,female,Abstract,180ABSTRACTO,Left,0,336
17,28,Right,female,Abstract,129ABSTRACTO,Right,0,387
17,28,Right,female,Representational,315IMPRESION,Left,0,378
17,28,Right,female,Abstract,146ABSTRACTO,Right,0,325
17,28,Right,female,Abstract,136ABSTRACTO,Left,0,378
17,28,Right,female,Abstract,176ABSTRACTO,Left,0,308
17,28,Right,female,Representational,173REALISTA,Right,0,408
17,28,Right,female,Representational,226REALISTA,Right,0,315
